# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
5,0.10759997367858887,0.2157999873161316,84,40.96360206604004
10,0.052799999713897705,0.17935383319854736,73,35.680469036102295
20,0.051599979400634766,0.1767076849937439,72,37.28629517555237
30,0.017400026321411133,0.16576921939849854,85,45.22397041320801
40,0.014199972152709961,0.1632307767868042,81,37.68804383277893
5,0.09119999408721924,0.20515382289886475,106,49.98017692565918
10,0.10860002040863037,0.1967231035232544,42,18.963222980499268
20,0.01819998025894165,0.17580002546310425,93,46.72308015823364
30,0.015600025653839111,0.17230767011642456,105,50.42422533035278
40,0.017400026321411133,0.16543078422546387,79,42.3706693649292
5,0.09479999542236328,0.20307689905166626,75,35.018744468688965
10,0.06679999828338623,0.17878460884094238,51,23.278496026992798
20,0.03179997205734253,0.17183077335357666,79,37.36043095588684
30,0.036199986934661865,0.1655692458152771,59,30.121516466140747
40,0.029999971389770508,0.1645076870918274,66,33.98725247383118
5,0.1395999789237976,0.22641539573669434,68,32.58551597595215
10,0.08060002326965332,0.18519997596740723,57,27.77672839164734
20,0.045400023460388184,0.17209231853485107,80,37.64899945259094
30,0.03780001401901245,0.1679692268371582,81,37.697288274765015
40,0.023800015449523926,0.1632615327835083,75,35.34187984466553
5,0.1032000184059143,0.20099997520446777,76,35.56406497955322
10,0.07859998941421509,0.18633848428726196,66,31.222643613815308
20,0.028599977493286133,0.16530770063400269,66,31.633156061172485
30,0.03539997339248657,0.16081535816192627,56,28.693750143051147
40,0.02399998903274536,0.16810768842697144,83,38.09635043144226
5,0.0875999927520752,0.20029228925704956,68,32.637916564941406
10,0.04919999837875366,0.1838153600692749,91,42.821141719818115
20,0.03579998016357422,0.16816926002502441,68,31.134490728378296
30,0.04860001802444458,0.16693848371505737,65,30.04472017288208
40,0.029999971389770508,0.15778464078903198,60,28.313494205474854
5,0.08619999885559082,0.19993847608566284,85,37.05232214927673
10,0.0867999792098999,0.20230770111083984,79,38.60285401344299
20,0.04079997539520264,0.1770615577697754,77,36.13756966590881
30,0.02460002899169922,0.16616922616958618,81,41.98738360404968
40,0.005800008773803711,0.16164612770080566,102,50.054558515548706
5,0.12720000743865967,0.20587694644927979,46,22.06931757926941
10,0.07020002603530884,0.1904768943786621,74,36.09389781951904
20,0.05339998006820679,0.17003077268600464,62,30.446013927459717
30,0.01840001344680786,0.17064613103866577,99,48.725419759750366
40,0.014400005340576172,0.16860002279281616,99,48.5363085269928
5,0.10839998722076416,0.21495383977890015,77,35.80350685119629
10,0.07419997453689575,0.17503076791763306,56,26.813482999801636
20,0.03659999370574951,0.16309231519699097,68,32.781919717788696
30,0.03420001268386841,0.16546154022216797,89,43.27111268043518
40,0.06459999084472656,0.17073845863342285,49,24.87536907196045
5,0.11879998445510864,0.21276921033859253,77,35.75927114486694
10,0.05239999294281006,0.1850000023841858,82,38.53278470039368
20,0.039200007915496826,0.17746156454086304,80,40.23476505279541
30,0.03280001878738403,0.1724461317062378,78,38.352163553237915
40,0.012000024318695068,0.15764617919921875,81,39.83692741394043
5,0.12239998579025269,0.21555382013320923,68,32.10125494003296
10,0.0658000111579895,0.1920154094696045,97,45.08641839027405
20,0.01840001344680786,0.17484617233276367,96,45.62330365180969
30,0.01260000467300415,0.16019999980926514,93,44.8590931892395
40,0.0059999823570251465,0.15986156463623047,94,46.77102184295654
5,0.10900002717971802,0.19739997386932373,60,28.14388370513916
10,0.09759998321533203,0.20764613151550293,74,34.84485197067261
20,0.03560000658035278,0.16981536149978638,83,39.637166023254395
30,0.016200006008148193,0.17076921463012695,86,41.82938098907471
40,0.05119997262954712,0.17486155033111572,61,30.52565574645996
5,0.1029999852180481,0.2075076699256897,74,34.62306785583496
10,0.058000028133392334,0.18275386095046997,69,32.58591866493225
20,0.05720001459121704,0.17084616422653198,46,22.697633266448975
30,0.019599974155426025,0.16483074426651,94,45.49911689758301
40,0.02399998903274536,0.16775387525558472,86,42.24630641937256
5,0.09520000219345093,0.1998000144958496,76,35.626503467559814
10,0.0788000226020813,0.18143075704574585,73,34.64902997016907
20,0.045400023460388184,0.1782153844833374,76,36.56505370140076
30,0.06459999084472656,0.17363077402114868,60,29.76527500152588
40,0.01759999990463257,0.1640307903289795,99,50.01444411277771
5,0.12620002031326294,0.21255385875701904,57,26.786365270614624
10,0.07940000295639038,0.18641537427902222,69,33.20464754104614
20,0.03519999980926514,0.17190766334533691,87,41.524325370788574
30,0.009999990463256836,0.16355383396148682,99,47.36098265647888
40,0.036400020122528076,0.1613384485244751,68,33.94229555130005
5,0.08960002660751343,0.19843077659606934,77,35.51692199707031
10,0.06760001182556152,0.1830461621284485,61,29.019103288650513
20,0.03680002689361572,0.17858463525772095,86,40.854397773742676
30,0.04180002212524414,0.1699538230895996,74,36.15799903869629
40,0.009400010108947754,0.15993845462799072,95,46.98940968513489
5,0.10740000009536743,0.2019076943397522,67,31.392606258392334
10,0.07740002870559692,0.17829233407974243,51,24.595468044281006
20,0.03259998559951782,0.16978460550308228,84,40.03852319717407
30,0.028599977493286133,0.1641230583190918,68,33.1363742351532
40,0.037199974060058594,0.1585230827331543,57,28.39326024055481
5,0.1534000039100647,0.2441999912261963,73,34.08745265007019
10,0.06499999761581421,0.1751384735107422,56,27.305149793624878
20,0.10740000009536743,0.21439999341964722,58,28.307254314422607
30,0.0307999849319458,0.15904617309570312,60,29.7585129737854
40,0.025799989700317383,0.1676769256591797,76,37.01910638809204
5,0.11460000276565552,0.2124153971672058,76,34.024320125579834
10,0.06679999828338623,0.18427693843841553,66,30.392972707748413
20,0.06199997663497925,0.1769692301750183,60,27.39650297164917
30,0.0098000168800354,0.1613692045211792,98,44.540921211242676
40,0.015200018882751465,0.15693843364715576,74,35.22237420082092
5,0.09520000219345093,0.19370770454406738,60,22.366082191467285
10,0.053799986839294434,0.17864614725112915,79,30.249935150146484
20,0.022000014781951904,0.1644461750984192,93,36.249715089797974
30,0.05339998006820679,0.18158459663391113,67,27.459176301956177
40,0.020799994468688965,0.16638463735580444,80,37.67010474205017
5,0.1284000277519226,0.2295384407043457,86,37.516337633132935
10,0.06599998474121094,0.18518459796905518,73,32.3476665019989
20,0.03979998826980591,0.16461539268493652,70,31.741603136062622
30,0.01759999990463257,0.16816926002502441,93,42.18562364578247
40,0.009400010108947754,0.164323091506958,92,41.97469139099121
5,0.08279997110366821,0.1961076855659485,84,34.23096299171448
10,0.0878000259399414,0.1963077187538147,67,29.89604663848877
20,0.061399996280670166,0.18412309885025024,67,30.524956226348877
30,0.0504000186920166,0.18235385417938232,83,37.8503532409668
40,0.017799973487854004,0.16235387325286865,80,37.092084884643555
5,0.10519999265670776,0.20319998264312744,76,30.630573987960815
10,0.06499999761581421,0.1806153655052185,63,28.13505530357361
20,0.06319999694824219,0.19196921586990356,72,32.41014122962952
30,0.016799986362457275,0.16656923294067383,88,40.45235848426819
40,0.03359997272491455,0.1699846386909485,84,39.413323640823364
5,0.09839999675750732,0.20515382289886475,60,26.629592895507812
10,0.06739997863769531,0.1861538290977478,62,26.183480739593506
20,0.03939998149871826,0.16680002212524414,72,32.532389640808105
30,0.022000014781951904,0.16875386238098145,91,41.99489760398865
40,0.030600011348724365,0.17224615812301636,75,35.036516189575195
5,0.10699999332427979,0.20173847675323486,71,27.897682428359985
