# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
20,0.02319997549057007,0.17023074626922607,98,44.604437828063965
30,0.03560000658035278,0.16180002689361572,69,32.12647581100464
40,0.020200014114379883,0.158369243144989,71,33.58284401893616
5,0.10740000009536743,0.2199384570121765,92,40.048259258270264
10,0.06440001726150513,0.17043077945709229,56,25.456028938293457
20,0.03759998083114624,0.17296922206878662,67,30.997281789779663
30,0.0493999719619751,0.1794000267982483,72,33.62192153930664
40,0.014400005340576172,0.15950769186019897,79,37.23640179634094
5,0.10519999265670776,0.19609230756759644,53,24.13516879081726
10,0.056599974632263184,0.1854768991470337,81,36.07450485229492
20,0.046999990940093994,0.17307692766189575,65,30.071694374084473
30,0.026600003242492676,0.16226154565811157,68,31.908077478408813
40,0.029799997806549072,0.1627846360206604,64,30.361498594284058
5,0.09179997444152832,0.1974615454673767,61,27.72337770462036
10,0.06699997186660767,0.17446154356002808,51,24.984684944152832
20,0.02399998903274536,0.17089229822158813,84,38.530874729156494
30,0.034399986267089844,0.16496920585632324,72,33.51725435256958
40,0.022599995136260986,0.16090768575668335,74,35.07191777229309
5,0.19880002737045288,0.2633538246154785,46,21.348162412643433
10,0.05720001459121704,0.18189233541488647,67,30.421279668807983
20,0.07279998064041138,0.1951230764389038,67,31.232898235321045
30,0.014599978923797607,0.16784614324569702,98,45.050057888031006
40,0.037400007247924805,0.17153847217559814,69,32.94590735435486
5,0.10799998044967651,0.21473848819732666,62,27.678613424301147
10,0.07760000228881836,0.18353843688964844,61,27.85431432723999
20,0.044200003147125244,0.17944616079330444,88,40.02539253234863
30,0.025600016117095947,0.1628769040107727,73,33.94220209121704
40,0.006399989128112793,0.16029232740402222,94,43.735193729400635
5,0.12480002641677856,0.22875386476516724,93,40.99577498435974
10,0.06440001726150513,0.18753844499588013,67,30.256064414978027
20,0.02319997549057007,0.17149227857589722,101,45.26459884643555
30,0.0504000186920166,0.17172306776046753,65,30.50037980079651
40,0.0067999958992004395,0.15869230031967163,93,43.18745231628418
5,0.11760002374649048,0.21690768003463745,62,27.803323984146118
10,0.06519997119903564,0.19164615869522095,71,31.8932044506073
20,0.03259998559951782,0.1794000267982483,95,43.28236532211304
30,0.0307999849319458,0.1651846170425415,69,32.317978858947754
40,0.0339999794960022,0.1651846170425415,71,33.7605357170105
5,0.13859999179840088,0.2157692313194275,43,20.16693925857544
10,0.08060002326965332,0.19067692756652832,57,26.032790899276733
20,0.04680001735687256,0.1803538203239441,78,35.78738737106323
30,0.028800010681152344,0.16118460893630981,65,30.3692946434021
40,0.0153999924659729,0.1581384539604187,83,39.31168246269226
100,0.031199991703033447,0.1718461513519287,88,63.0871057510376
100,0.004800021648406982,0.15287691354751587,82,58.8680624961853
100,0.007600009441375732,0.15358459949493408,84,64.57634019851685
100,0.014199972152709961,0.1516769528388977,72,53.467517137527466
100,0.011600017547607422,0.1551230549812317,82,63.73992323875427
100,0.0037999749183654785,0.15747690200805664,89,67.83795738220215
100,0.001399993896484375,0.15463078022003174,95,70.60899806022644
100,0.010599970817565918,0.15949231386184692,83,61.68876528739929
100,0.0153999924659729,0.1537846326828003,80,64.19379210472107
100,0.024800002574920654,0.1587538719177246,62,49.79634976387024
100,0.0012000203132629395,0.15475386381149292,102,76.27978682518005
100,0.0055999755859375,0.15633845329284668,88,69.48357152938843
100,0.01380002498626709,0.15269231796264648,77,57.46723747253418
100,0.008599996566772461,0.15415382385253906,75,54.602478981018066
100,0.016799986362457275,0.15370768308639526,71,52.23807215690613
100,0.004400014877319336,0.15575385093688965,88,63.5585880279541
100,0.022000014781951904,0.15546154975891113,65,48.856250524520874
100,0.023599982261657715,0.1667538285255432,72,61.24292755126953
100,0.011600017547607422,0.15806156396865845,91,85.52102541923523
100,0.008599996566772461,0.1578769087791443,87,65.10610699653625
100,0.015799999237060547,0.15679997205734253,83,60.237945556640625
100,0.010599970817565918,0.15276920795440674,76,56.05862092971802
100,0.014199972152709961,0.15767693519592285,75,54.87242341041565
100,0.010999977588653564,0.15799999237060547,74,54.53055119514465
100,0.014800012111663818,0.1572769284248352,72,53.71267032623291
100,0.0023999810218811035,0.15349233150482178,95,70.08725881576538
100,0.012199997901916504,0.15712308883666992,86,62.64604592323303
100,0.0009999871253967285,0.15375381708145142,101,73.27536511421204
100,0.0073999762535095215,0.15335386991500854,84,61.56635594367981
100,0.019599974155426025,0.15758460760116577,69,50.94756007194519
100,0.008800029754638672,0.15370768308639526,69,50.770343542099
100,0.013400018215179443,0.16010767221450806,84,61.47443103790283
100,0.023800015449523926,0.16347694396972656,62,46.209521770477295
100,0.0037999749183654785,0.15546154975891113,83,61.09250354766846
100,0.0004000067710876465,0.15501540899276733,98,70.97628617286682
100,0.004800021648406982,0.1525999903678894,84,61.26158356666565
100,0.008400022983551025,0.1549384593963623,75,55.11613440513611
100,0.019599974155426025,0.15918463468551636,72,53.14712476730347
100,0.0098000168800354,0.1568307876586914,73,53.7064311504364
100,0.003000020980834961,0.15558463335037231,90,65.68670082092285
100,0.003000020980834961,0.15392309427261353,92,67.61665678024292
100,0.014400005340576172,0.15472304821014404,72,53.12792944908142
100,0.010599970817565918,0.15273845195770264,67,49.53450345993042
100,0.01239997148513794,0.15486150979995728,75,55.11928367614746
100,0.02399998903274536,0.1596153974533081,65,48.9377658367157
100,0.0073999762535095215,0.15047693252563477,73,53.593897342681885
100,0.001999974250793457,0.15527689456939697,95,69.46493196487427
100,0.018000006675720215,0.15010768175125122,61,45.532572984695435
100,0.01260000467300415,0.15679997205734253,79,58.34837532043457
100,0.0054000020027160645,0.15664613246917725,87,63.21647071838379
100,0.0026000142097473145,0.1545845866203308,88,64.38856887817383
100,0.038600027561187744,0.16380000114440918,77,56.425095081329346
100,0.004800021648406982,0.155353844165802,100,72.68041968345642
100,0.0040000081062316895,0.15310770273208618,91,66.59072589874268
100,0.008800029754638672,0.15293848514556885,78,57.94913077354431
100,0.0067999958992004395,0.1561846137046814,95,69.06462979316711
100,0.01260000467300415,0.1562461256980896,73,53.735679626464844
100,0.005800008773803711,0.15210771560668945,90,65.20595479011536
100,0.018999993801116943,0.1660768985748291,85,62.24661922454834
100,0.05879998207092285,0.17500001192092896,66,48.732604026794434
100,0.01260000467300415,0.15484613180160522,76,56.377591371536255
100,0.012199997901916504,0.15169233083724976,67,49.571133852005005
100,0.0054000020027160645,0.15432310104370117,95,69.13069653511047
100,0.00700002908706665,0.15635383129119873,79,57.80156970024109
100,0.017000019550323486,0.15327692031860352,65,48.65664339065552
100,0.016799986362457275,0.16330766677856445,77,56.547791719436646
100,0.022800028324127197,0.16759997606277466,89,65.05429577827454
100,0.001399993896484375,0.15392309427261353,105,76.01771306991577
100,0.02499997615814209,0.1612461805343628,72,52.967241048812866
100,0.0023999810218811035,0.15609228610992432,107,77.44235348701477
100,0.01239997148513794,0.1546461582183838,85,63.262659311294556
100,0.008599996566772461,0.15610766410827637,71,52.49843502044678
100,0.013999998569488525,0.15633845329284668,66,49.1100435256958
100,0.02039998769760132,0.15503078699111938,71,59.306596517562866
100,0.013000011444091797,0.15113848447799683,61,47.04222559928894
100,0.000599980354309082,0.15436923503875732,109,91.69728827476501
100,0.0055999755859375,0.15158462524414062,83,72.29515433311462
100,0.017400026321411133,0.16039997339248657,73,55.78012299537659
100,0.004400014877319336,0.15243077278137207,90,66.55802798271179
100,0.02039998769760132,0.16227692365646362,78,57.59852313995361
100,0.01940000057220459,0.15244615077972412,57,43.42221641540527
100,0.0040000081062316895,0.15593844652175903,96,69.57923555374146
100,0.0023999810218811035,0.1592000126838684,95,70.87639880180359
100,0.008400022983551025,0.15204614400863647,86,63.23249101638794
100,0.013599991798400879,0.15412306785583496,85,62.5811185836792
100,0.001999974250793457,0.15844613313674927,103,75.72959089279175
100,0.00279998779296875,0.15021538734436035,90,65.64199304580688
100,0.005200028419494629,0.15504616498947144,91,66.73249888420105
100,0.008599996566772461,0.15306150913238525,72,53.17729711532593
100,0.009000003337860107,0.15640002489089966,90,66.27398085594177
100,0.001399993896484375,0.1546154022216797,109,78.67778706550598
100,0.011600017547607422,0.15939998626708984,84,61.82478904724121
100,0.009000003337860107,0.15798461437225342,77,56.67578601837158
100,0.006600022315979004,0.15006154775619507,76,56.588810205459595
100,0.010999977588653564,0.16463077068328857,96,69.89107084274292
100,0.024399995803833008,0.16035383939743042,63,47.222870111465454
100,0.001999974250793457,0.15393847227096558,96,69.66097807884216
100,0.001999974250793457,0.15367692708969116,95,69.63905596733093
100,0.0054000020027160645,0.15286153554916382,88,64.19453144073486
100,0.00959998369216919,0.15827691555023193,81,60.10878372192383
